,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
265,8698,78000000,179265204,Fantasy,Action,Thriller,Science Fiction,N/A,2003-07-11,110
266,10708,60000000,164433867,Comedy,Family,N/A,N/A,N/A,2003-05-09,92
267,2334,14500000,65497208,Action,Comedy,N/A,N/A,N/A,2003-01-29,82
268,8619,150000000,212011111,Adventure,Drama,War,N/A,N/A,2003-11-14,138
269,10628,0,0,Action,Adventure,Comedy,Family,Crime,2003-01-17,89
270,1807,3000000,10012022,Crime,Drama,N/A,N/A,N/A,2003-09-20,81
271,10610,41000000,0,Thriller,Fantasy,Action,Comedy,N/A,2003-08-15,88
272,10152,19000000,39267515,Comedy,N/A,N/A,N/A,N/A,2003-04-14,85
273,587,70000000,123218424,Adventure,Fantasy,Drama,N/A,N/A,2003-12-25,125
274,21542,0,21964072,Comedy,Drama,Family,Romance,N/A,2003-12-12,100
275,10715,80000000,68514844,Animation,Comedy,Family,N/A,N/A,2003-11-14,93
276,8409,36000000,44350926,Action,Drama,N/A,N/A,N/A,2003-04-04,109
277,10934,18000000,58878723,Romance,Comedy,N/A,N/A,N/A,2003-09-20,113
278,14873,20000000,135680000,Family,Animation,Adventure,N/A,N/A,2003-02-07,72
279,36218,0,334000000,Family,Action,Animation,Adventure,Fantasy,2003-07-19,81
280,246355,2000,0,Crime,Horror,Thriller,N/A,N/A,2003-01-01,10
281,10159,85000000,80916492,Adventure,Action,Comedy,Thriller,N/A,2003-09-26,104
282,10727,0,0,Thriller,Horror,N/A,N/A,N/A,2003-01-24,86
283,21956,0,0,Animation,Comedy,Family,Mystery,N/A,2003-09-30,75
284,8920,50000000,200804534,Animation,Comedy,Family,N/A,N/A,2004-06-10,80
285,673,130000000,789804554,Adventure,Fantasy,N/A,N/A,N/A,2004-05-31,141
286,12153,37000000,113086475,Comedy,Crime,N/A,N/A,N/A,2004-06-23,109
287,4935,24000000,236049757,Fantasy,Animation,Adventure,N/A,N/A,2004-09-09,119
288,809,150000000,928760770,Animation,Family,Comedy,Fantasy,Adventure,2004-05-19,93
289,10625,17000000,130126277,Comedy,N/A,N/A,N/A,N/A,2004-04-30,97
290,15165,0,0,Animation,Family,Comedy,N/A,N/A,2004-09-28,85
291,11036,29000000,115603229,Romance,Drama,N/A,N/A,N/A,2004-06-25,123
292,9806,92000000,631442092,Action,Adventure,Animation,Family,N/A,2004-10-27,115
293,176,1200000,103911669,Horror,Mystery,Crime,N/A,N/A,2004-10-01,103
